population_density,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
54.422,182072.0,498.0,71.143,7717.0,4.0,0.571,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,182643.0,571.0,81.571,7724.0,7.0,1.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,183219.0,576.0,82.286,7727.0,3.0,0.429,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,183450.0,231.0,33.0,7730.0,3.0,0.429,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,184474.0,1024.0,146.286,7738.0,8.0,1.143,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,185580.0,1106.0,158.0,7747.0,9.0,1.286,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,187046.0,1466.0,209.429,7752.0,5.0,0.714,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,188831.0,1785.0,255.0,7758.0,6.0,0.857,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,190435.0,1604.0,229.143,7759.0,1.0,0.143,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,192208.0,1773.0,253.286,7774.0,15.0,2.143,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,193887.0,1679.0,239.857,7780.0,6.0,0.857,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,195647.0,1760.0,251.429,7787.0,7.0,1.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,197082.0,1435.0,205.0,7794.0,7.0,1.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,198283.0,1201.0,171.571,7796.0,2.0,0.286,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,199272.0,989.0,141.286,7799.0,3.0,0.429,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,200199.0,927.0,132.429,7804.0,5.0,0.714,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,201096.0,897.0,128.143,7811.0,7.0,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,202029.0,933.0,133.286,7818.0,7.0,1.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,202834.0,805.0,115.0,7821.0,3.0,0.429,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,203618.0,784.0,112.0,7826.0,5.0,0.714,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,204431.0,813.0,116.143,7829.0,3.0,0.429,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,205012.0,581.0,83.0,7831.0,2.0,0.286,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,205596.0,584.0,83.429,7833.0,2.0,0.286,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,206164.0,568.0,81.143,7834.0,1.0,0.143,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,206545.0,381.0,54.429,7839.0,5.0,0.714,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,206986.0,441.0,63.0,7844.0,5.0,0.714,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,207322.0,336.0,48.0,7845.0,1.0,0.143,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,207579.0,257.0,36.714,7849.0,4.0,0.571,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,207780.0,201.0,28.714,7851.0,2.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,207953.0,173.0,24.714,7855.0,4.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,208097.0,144.0,20.571,7860.0,5.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,208420.0,323.0,46.143,7866.0,6.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
